category,total_orders,revenue
health_beauty,8647,1233131.72
watches_gifts,5493,1165898.98
bed_bath_table,9272,1023434.76
sports_leisure,7529,954673.55
computers_accessories,6529,888613.62
furniture_decor,6307,711927.6900000001
housewares,5743,615628.69
cool_stuff,3559,610204.1
auto,3809,578849.35
toys,3803,471097.49
garden_tools,3448,470495.27999999997
baby,2808,398487.84
perfumery,3086,390144.65
telephony,4093,309860.23
office_furniture,1254,268154.31
stationery,2264,223788.69
computers,177,218684.14
pet_shop,1688,211695.64
musical_instruments,611,184315.74
small_appliances,609,182754.12
electronics,2517,155043.93
fashion_bags_accessories,1820,149329.39
consoles_games,1018,148003.37
construction_tools_construction,736,142108.49
luggage_accessories,1019,138701.63
home_appliances_2,227,107953.95
home_construction,483,81407.57
home_appliances,747,78832.48
agro_industry_and_commerce,177,70566.1
furniture_living_room,414,67350.7
home_confort,392,58008.450000000004
fixed_telephony,212,55315.21
air_conditioning,246,53323.56
audio,348,50570.6
small_appliances_home_oven_and_coffee,72,46589.56
kitchen_dining_laundry_garden_furniture,241,45531.98
books_general_interest,495,45256.25
construction_tools_lights,242,39957.0
construction_tools_safety,159,38773.22
industry_commerce_and_business,231,38169.81
food,441,28731.15
market_place,274,27795.77
costruction_tools_garden,190,25096.28
art,195,23657.3
fashion_shoes,235,23001.46
drinks,287,21529.84
signaling_and_security,138,21315.05
furniture_bedroom,90,19051.8
books_technical,256,18702.23
costruction_tools_tools,97,15903.95
food_drink,221,14942.88
fashion_male_clothing,106,10452.33
fashion_underwear_beach,117,9305.95
christmas_supplies,125,8737.84
tablets_printing_image,79,7528.41
cine_photo,63,6674.47
music,38,6034.35
dvds_blu_ray,56,4542.59
party_supplies,38,4465.1900000000005
books_imported,50,4418.86
furniture_mattress_and_upholstery,37,4323.38
fashio_female_clothing,36,2634.94
fashion_sport,26,2094.52
la_cuisine,13,2054.99
arts_and_craftmanship,23,1814.01
diapers_and_hygiene,25,1500.79
flowers,29,1110.04
home_comfort_2,24,760.27
cds_dvds_musicals,12,730.0
fashion_childrens_clothes,7,519.95
security_and_services,2,283.28999999999996
